sourceHandle,sourceTitle,sourceImage,sourceCode,resolvedGid,resolvedHandle,resolvedTitle,method,referenceCount
kouzlo-krbu-bio,trochu Kouzlo krbu,https://www.sonnentor.com/cz/product-images/15226/98173/image-thumb__98173__product-teaser-img/15226.fd8373ab.jpg,15226,gid://shopify/Product/15821934887246,kouzlo-krbu-etericky-olej-bio-10-ml,Kouzlo krbu éterický olej bio 10 ml,image-code,5
sul-na-vejce-od-zajice-bio-dozicka,Sůl na vejce od zajíce bio dózička,https://www.sonnentor.com/cz/product-images/07301/34988/image-thumb__34988__product-teaser-img/07301_Su%CC%8Al%20na%20vejce%20od%20Zaji%CC%81ce%20NEW.6d229ead.jpg,,gid://shopify/Product/15821917749582,sul-na-vejce-od-zajice-bio-90g-dozicka,Sůl na vejce od zajíce bio 90g dózička,title-fuzzy-0.88,10
pepr-cerny-cely-bio-krabicka,Pepř černý celý bio krabička,https://www.sonnentor.com/cz/product-images/00330/33142/image-thumb__33142__product-teaser-img/pepr_cerny_cely.1e2db6f0.jpg,,gid://shopify/Product/15821921616206,pepr-cerny-bio-cely-55g,"Pepř černý bio, celý 55g",title-fuzzy-0.67,2
ledovy-dzbanek-pomeranc-bazalka-bio-pyramidalni-sacky,Ledový džbánek® pomeranč – bazalka bio pyramidální sáčky,https://www.sonnentor.com/cz/product-images/08005/35284/image-thumb__35284__product-teaser-img/08005.b94a48aa.jpg,08005,gid://shopify/Product/15821920502094,ledovy-dzbanek-pomeranc-bazalka-bio-40g-pyramida,Ledový džbánek® pomeranč – bazalka bio 40g pyramida,image-code,8
pikantni-polevka-bujon-bio-baleni,Pikantní polévka – bujón bio,https://www.sonnentor.com/cz/product-images/01401/70602/image-thumb__70602__product-teaser-img/01401.44e34af1.jpg,01401,gid://shopify/Product/15821923877198,pikantni-polevka-bio-60g,Pikantní polévka bio 60g,image-code,1
citron-etericky-olej-bio2,Citron éterický olej bio balení,https://www.sonnentor.com/cz/product-images/17060/60596/image-thumb__60596__product-teaser-img/17060.f49396d6.jpg,17060,gid://shopify/Product/15821934166350,citron-bio-etericky-olej-5-ml,"Citron bio, éterický olej 5 ml",title-fuzzy-0.67,4
aladinovo-koreni-do-kavy-bio-dozicka,Aladinovo koření do kávy bio dózička,https://www.sonnentor.com/cz/product-images/07757/34386/image-thumb__34386__product-teaser-img/07757.f4e97d29.jpg,07757,gid://shopify/Product/15821914276174,aladinovo-koreni-do-kavy-bio-35g-dozicka,Aladinovo koření do kávy bio 35g dózička,image-code,3
ovoce-zele-s-ovocnou-prichuti-bio-baleni,Ovoce – želé s ovocnou příchutí bio,https://www.sonnentor.com/cz/product-images/00970/72064/image-thumb__72064__product-teaser-img/00970.6b93e888.jpg,00970,gid://shopify/Product/15821924073806,ovoce-zele-s-ovocnou-prichuti-bio-100g,Ovoce - želé s ovocnou příchutí bio 100g,image-code,10
medova-srdicka-keksy-bezlepkove-bio-krabicka,Medová srdíčka bio,https://www.sonnentor.com/cz/product-images/00959/34966/image-thumb__34966__product-teaser-img/00959.89bae8a5.jpg,00959,gid://shopify/Product/15821917684046,medova-srdicka-bezlepkova-bio-100g,Medová srdíčka bezlepková bio 100g,image-code,8
jogurtove-ovoce-zele-s-jogurtem-a-ovocnou-prichuti-bio-baleni,hrst Jogurtové ovoce – želé s jogurtem a ovocnou příchutí,https://www.sonnentor.com/cz/product-images/00969/72070/image-thumb__72070__product-teaser-img/00969.b18d8bd0.jpg,00969,gid://shopify/Product/15821924598094,jogurtove-ovoce-zele-s-jogurtem-a-ovocnou-prichuti-bio-100g,Jogurtové ovoce - želé s jogurtem a ovocnou příchutí bio 100g,image-code,9
povzbudivy-english-breakfast-bio-baleni,Povzbudivý English Breakfast bio balení,https://www.sonnentor.com/cz/product-images/00685/88815/image-thumb__88815__product-teaser-img/00685.54f5c46b.jpg,00685,gid://shopify/Product/15821931151694,povzbudivy-english-breakfast-cerny-caj-bio-70-g-syp,"Povzbudivý English Breakfast, černý čaj bio, 70 g syp.",image-code,5
kurkuma-latte-zazvor-bio-doza,špetka Kurkuma Latte zázvor,https://www.sonnentor.com/cz/product-images/09831/34839/image-thumb__34839__product-teaser-img/09831.853f0186.jpg,09831,gid://shopify/Product/15821917126990,kurkuma-latte-zazvor-bio-60g-doza,Kurkuma Latte - zázvor bio 60g dóza,image-code,6
manuka-pastilky-bio,Manuka pastilky bio,https://www.sonnentor.com/cz/product-images/00964/35270/image-thumb__35270__product-teaser-img/00964.37b1d1ae.jpg,00964,gid://shopify/Product/15821920174414,manuka-pastilky-bio-224g,"Manuka pastilky bio 22,4g",image-code,6
batuzek-sonnentor-bio,Batůžek SONNENTOR bio,https://www.sonnentor.com/cz/product-images/33199/35202/image-thumb__35202__product-teaser-img/33199.7e02642f.jpg,33199,gid://shopify/Product/15821919224142,batuzek-sonnentor,Batůžek Sonnentor,image-code,3
smaltovany-hrnicek-se-slunickem,Smaltovaný hrníček se sluníčkem,https://www.sonnentor.com/cz/product-images/33040/34664/image-thumb__34664__product-teaser-img/33040.08bc8643.jpg,33040,gid://shopify/Product/15821916504398,smaltovany-hrnicek-se-slunickem-04l,"Smaltovaný hrníček se sluníčkem 0,4l",image-code,3
spaldove-krekry-bio,Špaldové krekry bio,https://www.sonnentor.com/cz/product-images/33328/65838/image-thumb__65838__product-teaser-img/33328.e4e3fbc3.jpg,33328,gid://shopify/Product/15821922664782,spaldove-bio-krekry-100g,Špaldové bio krekry 100g,image-code,3
andel-strazny-keksy-bio-krabicka,Keksy Anděl strážný® bio,https://www.sonnentor.com/cz/product-images/00132/34335/image-thumb__34335__product-teaser-img/00132.0eaff75e.jpg,00132,gid://shopify/Product/15821914177870,keksy-andel-strazny-bio-125-g,Keksy Anděl strážný® bio 125 g,image-code,7
ovocni-medvidci-zele-s-ovocnou-prichuti-bio-baleni,Ovocní medvídci – želé s ovocnou příchutí bio,https://www.sonnentor.com/cz/product-images/00971/72066/image-thumb__72066__product-teaser-img/00971.80abfbd1.jpg,00971,gid://shopify/Product/15821924204878,ovocni-medvidci-zele-s-ovocnou-prichuti-bio-100g,Ovocní medvídci - želé s ovocnou příchutí bio 100g,image-code,9
vonny-kaminek,Vonný kamínek,https://www.sonnentor.com/cz/product-images/50203/34569/image-thumb__34569__product-teaser-img/50203.27ce66a7.jpg,50203,gid://shopify/Product/15821915717966,vonny-kaminek,Vonný kamínek,image-code,3
jablecny-strudl-caj-bio-porcovany-dvoukomorovy,Jablečný štrúdl bio porcovaný dvoukomorový,https://www.sonnentor.com/cz/product-images/02236/34837/image-thumb__34837__product-teaser-img/02236_.10aa33bc.jpg,,gid://shopify/Product/15821917061454,jablecny-strudl-bio-45g-porc-dvoukomorovy,Jablečný štrúdl bio 45g porc. dvoukomorový,title-fuzzy-0.57,7
sonnentor-adventni-kalendar-r-koreni-bio,SONNENTOR Adventní kalendář® koření bio,https://www.sonnentor.com/cz/product-images/01272/109028/image-thumb__109028__product-teaser-img/01272.39f433f2.jpg,01272,gid://shopify/Product/15821935280462,sonnentor-adventni-kalendar-koreni-bio-118-g,SONNENTOR Adventní kalendář® koření bio 118 g,image-code,3
