sourceHandle,sourceTitle,sourceImage,sourceCode,resolvedGid,resolvedHandle,resolvedTitle,method,referenceCount
jogurtove-ovoce-zele-s-jogurtem-a-ovocnou-prichuti-bio-velke-baleni,Jogurtové ovoce – želé s jogurtem a ovocnou příchutí bio,https://www.sonnentor.com/cz/product-images/09969/72101/image-thumb__72101__product-teaser-img/09969.875d672f.jpg,09969,gid://shopify/Product/15821924434254,jogurtove-ovoce-zele-s-jogurtem-a-ovocnou-prichuti-bio-1kg,Jogurtové ovoce - želé s jogurtem a ovocnou příchutí bio 1kg,image-code,2
ovoce-zele-s-ovocnou-prichuti-bio-velke-baleni,Ovoce - želé s ovocnou příchutí bio,https://www.sonnentor.com/cz/product-images/09970/72102/image-thumb__72102__product-teaser-img/09970.540aaa36.jpg,09970,gid://shopify/Product/15821924073806,ovoce-zele-s-ovocnou-prichuti-bio-100g,Ovoce - želé s ovocnou příchutí bio 100g,title-fuzzy-0.83,1
ovocni-medvidci-zele-s-ovocnou-prichuti-bio-velke-baleni,Ovocní medvídci - želé s ovocnou příchutí bio,https://www.sonnentor.com/cz/product-images/09971/72103/image-thumb__72103__product-teaser-img/09971.ff8234bd.jpg,09971,gid://shopify/Product/15821924270414,ovocni-medvidci-zele-s-ovocnou-prichuti-bio-1kg,Ovocní medvídci - želé s ovocnou příchutí bio 1kg,image-code,2
dobrodruzstvi-biorarasku-brozura,Dobrodružství biorarášků - brožura,https://www.sonnentor.com/cz/product-images/33445/87286/image-thumb__87286__product-teaser-img/33445.74df751c.jpg,33445,gid://shopify/Product/15821929349454,dobrodruzstvi-biorarasku-brozura,Dobrodružství biorarášků brožura,image-code,2
sonnentor-adventni-kalendar-r-koreni-bio-baleni,SONNENTOR Adventní kalendář® koření bio,https://www.sonnentor.com/cz/product-images/01300/85867/image-thumb__85867__product-teaser-img/01300.2dabe393.jpg,01300,gid://shopify/Product/15821928825166,adventni-kalendar-koreni-bio-118-g,Adventní kalendář koření bio 118 g,image-code,2
videnske-pokuseni-r-melange-prazena-kava-zrnkova-bio-baleni,Vídeňské pokušení® Melange pražená káva zrnková bio,https://www.sonnentor.com/cz/product-images/01101/83148/image-thumb__83148__product-teaser-img/01101.170a9053.jpg,01101,gid://shopify/Product/15821927219534,kava-videnske-pokuseni-melange-bio-prazena-zrnkova-500-g,"Káva Vídeňské pokušení® Melange bio, pražená, zrnková 500 g",image-code,3
svezi-lady-green-bio-baleni,Svěží Lady Green bio balení,https://www.sonnentor.com/cz/product-images/01222/88812/image-thumb__88812__product-teaser-img/01222.cd0795a8.jpg,01222,gid://shopify/Product/15821931086158,svezi-lady-green-bio-ochuceny-zeleny-caj-90-g-syp,"Svěží Lady Green bio, ochucený zelený čaj, 90 g  syp.",image-code,2
pomerancovy-caj-bio-porcovany-dvoukomorovy,Postní čas,https://www.sonnentor.com/cz/product-images/02309/90827/image-thumb__90827__product-teaser-img/02309.627365a1.jpg,02309,gid://shopify/Product/15821932036430,pomerancovy-caj-bio-324-g-porc-dvoukomorovy,"Pomerančový čaj bio 32,4 g, porc. dvoukomorový",image-code,2
koreni-do-svareneho-cerveneho-vina-bio-porcovany-dvoukomorovy,Koření do svařeného červeného vína bio porcovaný dvoukomorový,https://www.sonnentor.com/cz/product-images/02578/34503/image-thumb__34503__product-teaser-img/02578.af610f92.jpg,02578,gid://shopify/Product/15821928595790,koreni-do-svareneho-cerveneho-vina-bio-324-g-porc-dvoukomorovy,"Koření do svařeného červeného vína bio 32,4 g, porc. dvoukomorový",title-fuzzy-0.70,1
skorice-cejlon-mleta-bio-dozicka,Skořice Cejlon mletá bio dózička,https://www.sonnentor.com/cz/product-images/07734/33126/image-thumb__33126__product-teaser-img/07334.39f0ba58.jpg,07334,gid://shopify/Product/15821907624270,skorice-cejlon-bio-mleta-40g,"Skořice Cejlon bio, mletá 40g",title-fuzzy-0.67,1
koreni-na-pizzu-a-testoviny-bio-krabicka,Koření na pizzu a těstoviny bio krabička,https://www.sonnentor.com/cz/product-images/00358/33156/image-thumb__33156__product-teaser-img/00358.c846e408.jpg,00358,gid://shopify/Product/15821925712206,koreni-na-pizzu-a-testoviny-bio-20g,Koření na pizzu a těstoviny bio 20g,title-fuzzy-0.71,2
dobra-nalada-smes-kvetu-a-koreni-bio-dozicka,Dobrá nálada – směs květů a koření bio dózička,https://www.sonnentor.com/cz/product-images/07377/33450/image-thumb__33450__product-teaser-img/07377.0c0878a9.jpg,07377,gid://shopify/Product/15821909721422,dobra-nalada-smes-kvetu-a-koreni-bio-25g-dozicka,Dobrá nálada - směs květů a koření bio 25g dózička,image-code,1
vse-v-zelenem-salatove-koreni-bio-krabicka,"Vše v zeleném, salátové koření bio krabička",https://www.sonnentor.com/cz/product-images/00737/34035/image-thumb__34035__product-teaser-img/00737_vse_v_zelenem.45303545.jpg,,gid://shopify/Product/15821922074958,vse-v-zelenem-salatove-koreni-bio-15g,"Vše v zeleném, salátové koření bio 15g",title-fuzzy-0.71,1
selske-koreni-na-brambory-bio-dozicka,Selské koření na brambory bio dózička,https://www.sonnentor.com/cz/product-images/07765/34408/image-thumb__34408__product-teaser-img/07765.b2868d79.jpg,07765,gid://shopify/Product/15821926465870,selske-koreni-na-brambory-bio-25g,Selské koření na brambory bio 25g,title-fuzzy-0.71,1
prirozene-horke-spej-bio,"Přirozeně hořké, sprej bio",https://www.sonnentor.com/cz/product-images/01287/102391/image-thumb__102391__product-teaser-img/01287.4b5244a9.jpg,01287,gid://shopify/Product/15821935575374,prirozene-horke-sprej-bio-50-ml,"Přirozeně hořké, sprej bio 50 ml",image-code,1
pekne-odpoledne-bylinny-caj-sypany-bio,Pěkné odpoledne,https://www.sonnentor.com/cz/product-images/00538/34148/image-thumb__34148__product-teaser-img/00538.06f0b616.jpg,00538,gid://shopify/Product/15821913260366,pekne-odpoledne-bio-syp-50g,Pěkné odpoledne bio syp. 50g,image-code,3
kurkuma-mleta-bio-gastro-doza-velka,Kurkuma mletá bio gastro dóza velká,https://www.sonnentor.com/cz/product-images/98705/33150/image-thumb__33150__product-teaser-img/98705.54a85c95.jpg,98705,gid://shopify/Product/15821932822862,kurkuma-bio-mleta-500g-gastro-baleni,"Kurkuma bio, mletá 500g, gastro balení",title-fuzzy-0.50,1
vse-v-zelenem-salatove-koreni-bio-dozicka,"Vše v zeleném, salátové koření bio dózička",https://www.sonnentor.com/cz/product-images/07737/34031/image-thumb__34031__product-teaser-img/07737.9_vse_v_zelenem_salatove_koreni.f85c79e1.png,07737,gid://shopify/Product/15821922074958,vse-v-zelenem-salatove-koreni-bio-15g,"Vše v zeleném, salátové koření bio 15g",title-fuzzy-0.71,1
curry-ostre-bio-krabicka,Curry ostré bio krabička,https://www.sonnentor.com/cz/product-images/00387/33454/image-thumb__33454__product-teaser-img/00387_curry_ostre.75e18d37.jpg,,gid://shopify/Product/15821921911118,curry-ostre-bio-50g,Curry ostré bio 50g,title-fuzzy-0.60,1
