sourceHandle,sourceTitle,sourceImage,sourceCode,referenceCount,cand1_gid,cand1_handle,cand1_title,cand1_score,cand2_gid,cand2_handle,cand2_title,cand2_score,cand3_gid,cand3_handle,cand3_title,cand3_score,accepted_gid
adventni-bio,Adventní bio,https://www.sonnentor.com/cz/product-images/15225/98602/image-thumb__98602__product-teaser-img/15225_1.f08e68f2.jpg,,5,gid://shopify/Product/15821928825166,adventni-kalendar-koreni-bio-118-g,Adventní kalendář koření bio 118 g,0.400,gid://shopify/Product/15821934494030,adventni-etericky-olej-bio-10-ml,Adventní éterický olej bio 10 ml,0.333,gid://shopify/Product/15821935280462,sonnentor-adventni-kalendar-koreni-bio-118-g,SONNENTOR Adventní kalendář® koření bio 118 g,0.333,
koreni-na-kolace-keksy-mlete-bio-krabicka,Koření na koláče & keksy mleté bio,https://www.sonnentor.com/cz/product-images/00405/34189/image-thumb__34189__product-teaser-img/00405_koreni_na_kolace_a_keksy.bd1c6bd2.jpg,,1,gid://shopify/Product/15821907362126,salatove-koreni-mlete-bio-35g,Salátové koření mleté bio 35g,0.375,gid://shopify/Product/15821907853646,pernikove-koreni-bio-mlete-40g,"Perníkové koření bio, mleté 40g",0.375,gid://shopify/Product/15821922763086,koreni-na-vejce-bio-70g,Koření na vejce bio 70g,0.375,
sbohem-soli-stredomorska-bio-krabicka,"Sbohem, soli! Středomořská bio krabička",https://www.sonnentor.com/cz/product-images/00817/34809/image-thumb__34809__product-teaser-img/00817.b4e37b00.jpg,00817,4,gid://shopify/Product/15821917028686,sbohem-soli-pikantni-bio-50g,"Sbohem, soli! Pikantní bio 50g",0.429,gid://shopify/Product/15821927940430,sbohem-soli-zeleninova-bio-55-g,Sbohem soli! Zeleninová bio 55 g,0.429,gid://shopify/Product/15821911163214,stredomorska-kouzelna-sul-s-kvety-bio-120g,Středomořská kouzelná sůl s květy bio 120g,0.222,
zeleninova-polevka-sv-hildegardy-bujon-bio-baleni,Zeleninová polévka sv. Hildegardy - bujón bio,https://www.sonnentor.com/cz/product-images/01403/60566/image-thumb__60566__product-teaser-img/01403.197d37c9.jpg,01403,5,gid://shopify/Product/15821929120078,zeleninova-polevka-sv-hildegardy-bio-cz,Zeleninová polévka sv. Hildegardy bio CZ,0.714,gid://shopify/Product/15821924008270,zeleninova-polevka-sv-hildegardy-bio-ve-sklenicce,Zeleninová polévka sv. Hildegardy bio ve skleničce,0.625,gid://shopify/Product/15821923877198,pikantni-polevka-bio-60g,Pikantní polévka bio 60g,0.250,
bazalka-etericky-olej-bio,Bazalka éterický olej bio balení,https://www.sonnentor.com/cz/product-images/17096/60595/image-thumb__60595__product-teaser-img/17096.db4d90f5.jpg,17096,2,gid://shopify/Product/15821911228750,levandule-bio-etericky-olej-10ml,Levandule bio éterický olej 10ml,0.429,gid://shopify/Product/15821911294286,bergamot-bio-etericky-olej-10ml,Bergamot bio éterický olej 10ml,0.429,gid://shopify/Product/15821911359822,cajovnik-bio-etericky-olej-10ml,Čajovník bio éterický olej 10ml,0.429,
pepr-barevny-cerny-bily-ruzovy-zeleny-cely-v-mlynku-bio,"Pepř barevný (černý, bílý, růžový, zelený) celý v mlýnku bio",https://www.sonnentor.com/cz/product-images/01348/33627/image-thumb__33627__product-teaser-img/Pep%C5%99%20barevn%C3%BD%20v%20ml%C3%BDnku.19279367.jpg,,1,gid://shopify/Product/15821910180174,pepr-ruzovy-bio-cely-20g,"Pepř růžový bio, celý 20g",0.400,gid://shopify/Product/15821921616206,pepr-cerny-bio-cely-55g,"Pepř černý bio, celý 55g",0.400,gid://shopify/Product/15821921878350,pepr-barevny-bio-cely-50g,"Pepř barevný bio, celý 50g",0.400,
rajcata-vlocky-bio-krabicka,Rajčata vločky bio krabička,https://www.sonnentor.com/cz/product-images/00872/60588/image-thumb__60588__product-teaser-img/00872.d58d18c5.jpg,00872,3,gid://shopify/Product/15821921255758,chilli-bio-vlocky-45g,"Chilli bio, vločky 45g",0.333,,,,,,,,,
nove-koreni-mlete-bio-krabicka,Nové koření mleté bio krabička,https://www.sonnentor.com/cz/product-images/00367/33458/image-thumb__33458__product-teaser-img/00367.2e509d42.jpg,00367,3,gid://shopify/Product/15821907362126,salatove-koreni-mlete-bio-35g,Salátové koření mleté bio 35g,0.429,gid://shopify/Product/15821907853646,pernikove-koreni-bio-mlete-40g,"Perníkové koření bio, mleté 40g",0.429,gid://shopify/Product/15821909786958,nove-koreni-bio-cele-35g,"Nové koření bio, celé 35g",0.429,
boruvky-bio-krabicka2,Borůvky bio krabička,https://www.sonnentor.com/cz/product-images/00201/34098/image-thumb__34098__product-teaser-img/00201.80da9665.jpg,00201,6,gid://shopify/Product/15821906248014,alfalfa-bio-120-g,Alfalfa bio 120 g,0.200,gid://shopify/Product/15821907394894,saturejka-bio-20g,Saturejka bio 20g,0.200,gid://shopify/Product/15821907427662,petrzel-bio-15g,Petržel bio 15g,0.200,
koreni-na-kolace-a-keksy-bio-krabicka,Koření na koláče a keksy bio krabička,https://www.sonnentor.com/cz/product-images/00977/72383/image-thumb__72383__product-teaser-img/00977.ac23cbb2.jpg,00977,5,gid://shopify/Product/15821922763086,koreni-na-vejce-bio-70g,Koření na vejce bio 70g,0.375,gid://shopify/Product/15821933314382,koreni-na-burger-bio-60-g,Koření na burger bio 60 g,0.375,gid://shopify/Product/15821933445454,koreni-na-nakladani-bio-65-g,Koření na nakládání bio 65 g,0.375,
